id,country,date,title,video_link,tags
jp-shugiintv-55333,jp,2024-06-21,"震災復興特別委員会 (05分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0621-1130-16/playlist.m3u8,
jp-shugiintv-55332,jp,2024-06-21,"厚生労働委員会 (09分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0621-1030-16/playlist.m3u8,committee-Q11409293
jp-shugiintv-55331,jp,2024-06-21,"総務委員会 (06分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0621-0930-15/playlist.m3u8,committee-Q11607536
jp-shugiintv-55330,jp,2024-06-21,"文部科学委員会 (06分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0621-1020-14/playlist.m3u8,committee-Q11500128
jp-shugiintv-55329,jp,2024-06-21,"環境委員会 (05分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0621-1035-12/playlist.m3u8,committee-Q11574049
jp-shugiintv-55328,jp,2024-06-21,"憲法審査会 (09分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0621-1040-18/playlist.m3u8,
jp-shugiintv-55327,jp,2024-06-21,"財務金融委員会 (06分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0621-1030-15/playlist.m3u8,committee-Q11634596
jp-shugiintv-55326,jp,2024-06-21,"地域・こども・デジタル特別委員会 (08分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0621-1150-01/playlist.m3u8,
jp-shugiintv-55325,jp,2024-06-21,"決算行政監視委員会 (04分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0621-1100-17/playlist.m3u8,committee-Q11552361
jp-shugiintv-55324,jp,2024-06-21,"安全保障委員会 (05分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0621-0940-11/playlist.m3u8,committee-Q11450363
jp-shugiintv-55323,jp,2024-06-21,"拉致問題特別委員会 (05分)",https://hlsvod.shugiintv.go.jp/vod/_definst_/amlst:2024/2024-0621-1010-04/playlist.m3u8,
